1,5
2,13
3,7
4,2
5,18
6,17
7,25
8,23
9,22
10,20
11,6
12,9
13,11
14,19
15,1
16,5
17,1
18,8
19,2
20,12
21,16
22,0
23,25
24,17
25,16
26,1
27,22
28,8
29,21
30,12
31,1
32,12
33,10
34,16
35,10
36,17
37,16
38,1
39,15
40,12
41,16
42,11
43,13
44,1
45,13
46,17
47,12
48,14
49,24
50,0
51,0
52,3
53,22
54,20
55,3
56,14
57,25
58,9
59,15
60,14
61,13
62,2
63,11
64,12
65,17
66,6
67,6
68,20
69,13
70,3
71,24
72,22
73,21
74,8
75,21
76,18
77,0
78,17
79,12
80,19
Recall
0,0.5
1,0.3333333333333333
2,1.0
3,0.6666666666666666
4,0.0
5,0.5
6,0.6666666666666666
7,1.0
8,1.0
9,1.0
10,0.5
11,1.0
12,0.2857142857142857
13,0.6
14,1.0
15,1.0
16,0.6
17,0.5
18,1.0
19,1.0
20,1.0
21,0.6666666666666666
22,0.75
23,1.0
24,1.0
25,0.6666666666666666
Percision
0,0.5
1,1.0
2,0.75
3,0.6666666666666666
4,0.0
5,0.5
6,0.5
7,0.3333333333333333
8,1.0
9,0.5
10,0.3333333333333333
11,0.75
12,0.6666666666666666
13,0.75
14,1.0
15,0.6666666666666666
16,1.0
17,0.75
18,0.6666666666666666
19,1.0
20,1.0
21,0.6666666666666666
22,1.0
23,0.5
24,0.6666666666666666
25,0.6666666666666666
F1-Measure
0,0.5
1,0.5
2,0.8571428571428571
3,0.6666666666666666
4,0.0
5,0.5
6,0.5714285714285715
7,0.5
8,1.0
9,0.6666666666666666
10,0.4
11,0.8571428571428571
12,0.4
13,0.6666666666666665
14,1.0
15,0.8
16,0.7499999999999999
17,0.6
18,0.8
19,1.0
20,1.0
21,0.6666666666666666
22,0.8571428571428571
23,0.6666666666666666
24,0.8
25,0.6666666666666666
Macro-F1,0.6804945054945055
Weighted-F1,0.6891369047619048
Accuracy,0.6875
